LFE5UM-45F

Pin,Name,Type,Unit,Hidden
A4,PL11A/ULC_GPLL0T_IN,bidirectional,Bank7,
A5,PL11B/ULC_GPLL0C_IN,bidirectional,Bank7,
B5,PL11C,bidirectional,Bank7,
C5,PL11D,bidirectional,Bank7,
C4,PL14A,bidirectional,Bank7,
A3,PL14C,bidirectional,Bank7,
B4,PL14B,bidirectional,Bank7,
B3,PL14D,bidirectional,Bank7,
E4,PL17A,bidirectional,Bank7,
C3,PL17C,bidirectional,Bank7,
D5,PL17B,bidirectional,Bank7,
D3,PL17D,bidirectional,Bank7,
F4,PL20A,bidirectional,Bank7,
E5,PL20C,bidirectional,Bank7,
E3,PL20B,bidirectional,Bank7,
F5,PL20D,bidirectional,Bank7,
A2,PL23A,bidirectional,Bank7,
B2,PL23C/VREF1_7,bidirectional,Bank7,
B1,PL23B,bidirectional,Bank7,
C2,PL23D,bidirectional,Bank7,
C1,PL26A,bidirectional,Bank7,
D2,PL26C,bidirectional,Bank7,
D1,PL26B,bidirectional,Bank7,
E1,PL26D,bidirectional,Bank7,
H4,PL29A/GR_PCLK7_1,bidirectional,Bank7,
H5,PL29C/GR_PCLK7_0,bidirectional,Bank7,
G5,PL29B,bidirectional,Bank7,
H3,PL29D,bidirectional,Bank7,
G3,PL32A/PCLKT7_1,bidirectional,Bank7,
F2,PL32C/PCLKT7_0,bidirectional,Bank7,
F3,PL32B/PCLKC7_1,bidirectional,Bank7,
E2,PL32D/PCLKC7_0,bidirectional,Bank7,
G2,PL35A/PCLKT6_1,bidirectional,Bank6,
H2,PL35C/PCLKT6_0,bidirectional,Bank6,
F1,PL35B/PCLKC6_1,bidirectional,Bank6,
G1,PL35D/PCLKC6_0,bidirectional,Bank6,
J4,PL38A/GR_PCLK6_0,bidirectional,Bank6,
J3,PL38C/GR_PCLK6_1,bidirectional,Bank6,
J5,PL38B,bidirectional,Bank6,
K3,PL38D,bidirectional,Bank6,
K2,PL41A,bidirectional,Bank6,
H1,PL41C,bidirectional,Bank6,
J1,PL41B,bidirectional,Bank6,
K1,PL41D,bidirectional,Bank6,
K4,PL44A,bidirectional,Bank6,
L4,PL44C,bidirectional,Bank6,
K5,PL44B/VREF1_6,bidirectional,Bank6,
L5,PL44D,bidirectional,Bank6,
M5,PL53A,bidirectional,Bank6,
M4,PL59A,bidirectional,Bank6,
N4,PL59C,bidirectional,Bank6,
N5,PL59B,bidirectional,Bank6,
P5,PL59D,bidirectional,Bank6,
N3,PL62A,bidirectional,Bank6,
L3,PL62C,bidirectional,Bank6,
M3,PL62B,bidirectional,Bank6,
L2,PL62D,bidirectional,Bank6,
N2,PL65A,bidirectional,Bank6,
L1,PL65C,bidirectional,Bank6,
M1,PL65B,bidirectional,Bank6,
N1,PL65D,bidirectional,Bank6,
P1,PL68A,bidirectional,Bank6,
P2,PL68B,bidirectional,Bank6,
P3,PL68C/LLC_GPLL0T_IN,bidirectional,Bank6,
P4,PL68D/LLC_GPLL0C_IN,bidirectional,Bank6,
R1,PB4A/D7/IO7,bidirectional,Bank8,
U1,PB6A/D5/MISO2/IO5,bidirectional,Bank8,
T1,PB4B/D6/IO6,bidirectional,Bank8,
V1,PB6B/D4/MOSI2/IO4,bidirectional,Bank8,
W1,PB9A/D3/IO3,bidirectional,Bank8,
V2,PB11A/D1/MISO/IO1,bidirectional,Bank8,
Y2,PB9B/D2/IO2,bidirectional,Bank8,
